id;siren;nic;l1_normalisee;l2_normalisee;l3_normalisee;l4_normalisee;l5_normalisee;l6_normalisee;l7_normalisee;numvoie;typvoie;libvoie;codpos;libcom;apet700;libtefet;adr_mail
7858817;750834798;00027;"MILK MUM IN HER LITTLE KITCHEN";;;"37 RUE GABRIEL HUSSON";;"93230 ROMAINVILLE";FRANCE;37;RUE;"GABRIEL HUSSON";93230;ROMAINVILLE;5610C;"0 salarié";
7871628;751031154;00030;"NUMERIC INVEST";;;"9 ALLEE DU PRE AUX CLERCS";;"69290 CRAPONNE";FRANCE;9;ALL;"DU PRE AUX CLERCS";69290;CRAPONNE;6420Z;"0 salarié";
7882731;751207283;00019;ROJINE;;;"29 RUE HENRI CASTEL";;"42400 ST CHAMOND";FRANCE;29;RUE;"HENRI CASTEL";42400;"SAINT CHAMOND";1413Z;"1 ou 2 salariés";
7902968;751523192;00027;"REAL I S FRANCE SAS";;;"59 RUE DE CHATEAUDUN";;"75009 PARIS";FRANCE;59;RUE;"DE CHATEAUDUN";75009;"PARIS 9";6831Z;"3 à 5 salariés";
7904360;751544925;00017;"COMPAGNIE DES TOITS";"CIE DES TOITS ABITA RENOV";;"58 AVENUE DE WAGRAM";;"75017 PARIS";FRANCE;58;AV;"DE WAGRAM";75017;"PARIS 17";4391B;"6 à 9 salariés";
7911401;751652934;00033;"E RETAIL DEVELOPMENT";;;"39 RUE DES ALLIES";;"69100 VILLEURBANNE";FRANCE;39;RUE;"DES ALLIES";69100;VILLEURBANNE;6201Z;"10 à 19 salariés";
7911402;751652934;00041;"E RETAIL DEVELOPMENT";"41 43";;"41 RUE PAUL BERT";;"92100 BOULOGNE BILLANCOURT";FRANCE;41;RUE;"PAUL BERT";92100;"BOULOGNE BILLANCOURT";7022Z;"3 à 5 salariés";
7928639;751914672;00025;"AVRILLE STUDIO PILATES";;"ZONE ARTISANALE DU BOCAGE";"9 RUE RENE HERSEN";;"49240 AVRILLE";FRANCE;9;RUE;"RENE HERSEN";49240;AVRILLE;8551Z;"0 salarié";
7935677;752030981;00027;EDOMIS;"12 15";;"12 QUAI DU COMMERCE";;"69009 LYON";FRANCE;12;QUAI;"DU COMMERCE";69009;"LYON 9EME";4791B;"0 salarié";
7959465;752389809;00019;LEBRIO;;;"35 RUE EVARISTE GALOIS";;"29200 BREST";FRANCE;35;RUE;"EVARISTE GALOIS";29200;BREST;7010Z;"Unités non employeuses";
